Wall time,Step,Value
1593834171.7074811,0,0.47166985273361206
1593834172.2420702,1,0.47610411047935486
1593834172.764654,2,0.4782260060310364
1593834173.213454,3,0.48022300004959106
1593834173.6931734,4,0.4828214943408966
1593834174.1858537,5,0.47917526960372925
1593834174.6416347,6,0.4921763837337494
1593834175.1323235,7,0.4966408312320709
1593834175.5920937,8,0.5026848912239075
1593834176.0548751,9,0.5080998539924622
1593834176.5216079,10,0.5146875381469727
1593834176.9814057,11,0.5224014520645142
1593834177.4521215,12,0.5286048650741577
1593834177.9108944,13,0.5348275303840637
1593834178.3666728,14,0.5406386256217957
1593834178.8244503,15,0.5486094951629639
1593834179.284221,16,0.5527060627937317
1593834179.8257728,17,0.5596389770507812
1593834180.3563545,18,0.5658508539199829
1593834180.8779595,19,0.5686238408088684
1593834181.4035537,20,0.5771121978759766
1593834181.9391215,21,0.5801588296890259
1593834182.4627216,22,0.5815665125846863
1593834182.9992864,23,0.5869613885879517
1593834183.5238838,24,0.5904684066772461
1593834184.0464866,25,0.5780191421508789
1593834184.5770679,26,0.5941578149795532
1593834185.1096437,27,0.6010863184928894
1593834185.6342459,28,0.6060219407081604
1593834186.0780544,29,0.6085081696510315
1593834186.609633,30,0.6124728918075562
1593834187.137238,31,0.6157856583595276
1593834187.6049979,32,0.6190366744995117
1593834188.1395414,33,0.6227798461914062
1593834188.6641388,34,0.6234881281852722
1593834189.102966,35,0.6202755570411682
1593834189.6425228,36,0.6314000487327576
1593834190.177094,37,0.6326656341552734
1593834190.7096694,38,0.6361284255981445
1593834191.1514893,39,0.6391293406486511
1593834191.68207,40,0.6401739120483398
1593834192.2136617,41,0.6435260772705078
1593834192.747221,42,0.6451692581176758
1593834193.2867782,43,0.6472597718238831
1593834193.8173645,44,0.6467126607894897
1593834194.3559198,45,0.6542956233024597
1593834194.8795304,46,0.6425450444221497
1593834195.4320433,47,0.6574913859367371
1593834195.951652,48,0.6536502242088318
1593834196.4862227,49,0.6647421717643738
1593834197.0098295,50,0.6649205088615417
1593834197.5464175,51,0.6633599996566772
1593834198.079961,52,0.6517156362533569
1593834198.6065533,53,0.67249995470047
1593834199.1343622,54,0.6780903935432434
1593834199.6681807,55,0.6722984313964844
1593834200.2037346,56,0.6712878346443176
1593834200.7383344,57,0.6885897517204285
1593834201.1821182,58,0.6462119221687317
1593834201.7068243,59,0.6933810710906982
1593834202.2393994,60,0.7024034261703491
1593834202.710142,61,0.6902523040771484
1593834203.2457075,62,0.6878973841667175
1593834203.8580713,63,0.7024755477905273
1593834204.315877,64,0.6961161494255066
1593834204.8404453,65,0.7178452610969543
1593834205.2812665,66,0.7176164388656616
1593834205.8318021,67,0.7282346487045288
1593834206.285581,68,0.7556661367416382
1593834206.8141673,69,0.7705312967300415
1593834207.3497353,70,0.7018540501594543
1593834207.8843043,71,0.7669152617454529
1593834208.4208694,72,0.7574597001075745
1593834208.946465,73,0.7133661508560181
1593834209.4850242,74,0.7922026515007019
1593834210.016611,75,0.808323860168457
1593834210.554168,76,0.7941856980323792
